Address,Price,Beds,Baths,Days Listed,Type,Agent,Agency,URL
"2234-2236 Commonwealth Ave #2236, Newton, MA 02466","$949,000",3,2,40 days,Condo,Judith Oriel, • Coldwell Banker Realty - Newton ,https://www.redfin.com/MA/Auburndale/2234-Commonwealth-Ave-02466/unit-2236/home/178655158
"39 Bencliffe Cir, Newton, MA 02466","$1,375,000",5,3.5,43 days,Single Family Residential,Robert Einhorn, • Robert Einhorn ,https://www.redfin.com/MA/Auburndale/39-Bencliffe-Cir-02466/home/11495407
"27 Oakwood Rd, Newton, MA 02466","$1,395,000",5,2,61 days,Single Family Residential,Nicole Stabnikov, • Red Tree Real Estate ,https://www.redfin.com/MA/Auburndale/27-Oakwood-Rd-02466/home/11440621
"65 Woodbine St, Newton, MA 02466","$1,100,000",4,2.5,108 days,Single Family Residential,Cynthia Lanciloti, • Kraft Fine Homes ,https://www.redfin.com/MA/Auburndale/65-Woodbine-St-02466/home/11436117
"118 Woodland Rd, Brookline, MA 02467","$9,950,000",7,7.5,5 days,Single Family Residential,Erin Baumgartner, • Compass ,https://www.redfin.com/MA/Chestnut-Hill/118-Woodland-Rd-02467/home/11500483
"131 South St, Brookline, MA 02467","$895,000",3,1,6 days,Single Family Residential,The Cobi Team, • William Raveis R. E. & Home Services ,https://www.redfin.com/MA/Chestnut-Hill/131-South-St-02467/home/11495359
"210 Allandale Rd Unit 2D, Boston, MA 02467","$1,325,000",2,2.5,6 days,Condo,Barbara Shea, • Shea Realty Group ,https://www.redfin.com/MA/Chestnut-Hill/210-Allandale-Rd-02467/unit-2D/home/9300062
"27-29 Commonwealth Ave #5, Newton, MA 02467","$550,000",1,1,11 days,Condo,Monica & Clio Team, • Chin Law Offices ,https://www.redfin.com/MA/Chestnut-Hill/27-Commonwealth-Ave-02467/unit-5/home/19003453
"630 Hammond St #305, Brookline, MA 02467","$1,499,000",2,2,12 days,Condo,Sarina Steinmetz, • William Raveis R.E. & Home Services ,https://www.redfin.com/MA/Chestnut-Hill/630-Hammond-St-02467/unit-305/home/11503410
"39 Clyde St, Brookline, MA 02467","$7,700,000",8,6.5,18 days,Single Family Residential, • Redfin Corp. ,•,https://www.redfin.com/MA/Chestnut-Hill/39-Clyde-St-02467/home/11500278
